"ID","Machine ID","Machine Name","Status","Operation Type","Speed (RPM)","Feed Rate","Temperature","X","Y","Z","Program Name","Timestamp","Date/Time"
"be8973b8-d707-452b-9a6b-1fabd772d54c","CNC-004","Okuma MB-5000H","maintenance","Boring","203","153.1","26","-148.51","-98.88","-30.82","PART_001.nc","1765065699936","2025-12-07T00:01:39.936Z"
"8eb4d8f4-94d7-4304-976e-4f3bfcd855c5","CNC-003","Mazak Integrex i-200","idle","Turning","290","58.7","27.3","-126.45","80.55","-46.96","PART_001.nc","1765065639926","2025-12-07T00:00:39.926Z"
"d8762646-d24a-454a-a2f3-60b02bc5db5f","CNC-004","Okuma MB-5000H","error","Threading","486","141.6","22.4","88.35","33.08","112.01","PART_003.nc","1765065579917","2025-12-06T23:59:39.917Z"
"98eb826d-abaf-4d87-a920-a52726513fbb","CNC-001","Haas VF-2","error","Boring","255","93.1","29.9","92.47","86.78","28.95","PART_003.nc","1765065519908","2025-12-06T23:58:39.908Z"
"e210c022-15ed-400e-a543-abcc738f9ebb","CNC-003","Mazak Integrex i-200","maintenance","Drilling","403","138.6","29.2","48.07","104.84","9.05","PART_003.nc","1765065459898","2025-12-06T23:57:39.898Z"
"b386a424-49ae-4546-816d-2e40fe7f77d9","CNC-003","Mazak Integrex i-200","maintenance","Milling","269","170.2","20.9","-135.84","38.87","114.08","PART_001.nc","1765065399890","2025-12-06T23:56:39.890Z"
"3d64d77c-f322-4de2-adca-a73eca92fc93","CNC-005","Fanuc Robodrill","maintenance","Boring","479","163.1","27.6","39.58","17.53","121.42","ENGINE_BLOCK.nc","1765065339882","2025-12-06T23:55:39.882Z"
"6b3eceaa-bb85-48b6-b22f-2e3c1fe7c5f8","CNC-002","DMG Mori NLX2500","maintenance","Boring","386","167.9","29.4","25.86","55.37","45.62","SHAFT_TURN.nc","1765065279874","2025-12-06T23:54:39.874Z"
"f8ed86a0-ca85-4fa2-b096-49f7f0569979","CNC-002","DMG Mori NLX2500","error","Threading","309","97.3","24.7","-54.71","90.59","73.56","PART_002.nc","1765065219866","2025-12-06T23:53:39.866Z"
"f7ab1fa0-ead1-4730-9e63-8041ab2f52ac","CNC-002","DMG Mori NLX2500","maintenance","Milling","18","157.4","29.3","53.89","87.19","98.73","PART_003.nc","1765065159857","2025-12-06T23:52:39.857Z"
"984efcc9-2b3c-4da7-ae0b-178113ab8731","CNC-002","DMG Mori NLX2500","error","Milling","51","168","23.9","35.67","-139.86","109.69","SHAFT_TURN.nc","1765065099847","2025-12-06T23:51:39.847Z"
"e1051bdd-f0cf-4861-b96f-12af383c39db","CNC-003","Mazak Integrex i-200","maintenance","Threading","35","145.5","22","-24.56","-123.54","-46.09","SHAFT_TURN.nc","1765065039837","2025-12-06T23:50:39.837Z"
"c5f80bce-a8e7-4b8e-b61f-894b4ac227f9","CNC-002","DMG Mori NLX2500","maintenance","Milling","153","120.2","29.1","-41.96","-6.19","63.36","PART_003.nc","1765064979829","2025-12-06T23:49:39.829Z"
"0ed103cc-8f8a-4126-a259-52d0a179e7d4","CNC-001","Haas VF-2","maintenance","Drilling","99","116.9","21.9","43.24","-113.62","74.39","PART_002.nc","1765064919820","2025-12-06T23:48:39.820Z"
"f48ed5b9-c166-4411-b1e3-46ac08ddc7ca","CNC-005","Fanuc Robodrill","maintenance","Drilling","239","155.1","20.6","-144.36","76.83","13.65","PART_001.nc","1765064859813","2025-12-06T23:47:39.813Z"
"5c6360ca-6b1c-43b9-9667-2dbf0a5e1bbc","CNC-005","Fanuc Robodrill","idle","Boring","198","155.4","29.9","85.31","-123.83","99.98","SHAFT_TURN.nc","1765064799804","2025-12-06T23:46:39.804Z"
"edf544cf-c75c-40bb-b427-4a8c636cf686","CNC-004","Okuma MB-5000H","maintenance","Turning","314","163.5","23.6","112.12","39.87","-43.6","PART_003.nc","1765064739795","2025-12-06T23:45:39.795Z"
"cae5e542-ffe4-4c66-8817-8ad751af811d","CNC-002","DMG Mori NLX2500","maintenance","Milling","309","100.1","21.4","44.57","81.05","-16.02","PART_001.nc","1765064679787","2025-12-06T23:44:39.787Z"
"cd01fbe2-8309-4160-983b-f399050fdf0e","CNC-005","Fanuc Robodrill","idle","Milling","251","176.8","28","27.51","66.63","58.05","PART_002.nc","1765064619779","2025-12-06T23:43:39.779Z"
"0ab9704c-ed69-4a9f-adae-2255c5b1bb94","CNC-004","Okuma MB-5000H","maintenance","Turning","119","96.7","23.2","18.61","27.3","-35.82","PART_002.nc","1765064559770","2025-12-06T23:42:39.770Z"
"fe054ce9-7251-4233-adca-13775ad812d3","CNC-004","Okuma MB-5000H","running","Boring","3089","56.4","53.1","-133.76","-125.92","95.12","PART_001.nc","1765064499761","2025-12-06T23:41:39.761Z"
"af0a3661-6bb8-4d3c-a6ba-fa9af429789a","CNC-001","Haas VF-2","error","Milling","365","87.1","20","98.85","-77.3","119.41","SHAFT_TURN.nc","1765064439753","2025-12-06T23:40:39.753Z"
"11df6d62-56d1-47de-b0c3-9551801e6c62","CNC-004","Okuma MB-5000H","maintenance","Boring","481","99.3","23.7","-77.4","-118.96","114.58","SHAFT_TURN.nc","1765064379745","2025-12-06T23:39:39.745Z"
"084365a2-beb6-430b-bf7a-0748caf9a4f6","CNC-003","Mazak Integrex i-200","idle","Turning","136","105.3","23.1","-60.5","-0.94","83.73","PART_003.nc","1765064319735","2025-12-06T23:38:39.735Z"
"e7130850-b9a5-4ebb-a1c4-7491f0a21240","CNC-005","Fanuc Robodrill","error","Threading","31","180.7","23.9","137.66","1.29","24.06","SHAFT_TURN.nc","1765064259727","2025-12-06T23:37:39.727Z"
"bf6f8efb-f4fa-4c43-afb6-f9a93c7284a1","CNC-001","Haas VF-2","maintenance","Boring","441","189.3","25.6","-96.96","-46.28","138.52","PART_001.nc","1765064199719","2025-12-06T23:36:39.719Z"
"ad5ec7a4-2337-4cec-8734-ac33254d7703","CNC-005","Fanuc Robodrill","idle","Drilling","455","142.2","21.6","-23.11","11.41","-42.59","PART_001.nc","1765064139711","2025-12-06T23:35:39.711Z"
"acb79f31-7562-43f4-9ee8-64bc84af69b0","CNC-005","Fanuc Robodrill","error","Milling","457","120.7","23.7","119.76","-53.91","-48.19","PART_003.nc","1765064079704","2025-12-06T23:34:39.704Z"
"155990e4-42e3-4770-9743-99c905c7b251","CNC-004","Okuma MB-5000H","idle","Turning","441","98.9","20.3","-24.42","-71.27","117.99","PART_002.nc","1765064019696","2025-12-06T23:33:39.696Z"
"a08002c3-d759-4883-9397-8079f89cf4cd","CNC-001","Haas VF-2","maintenance","Turning","396","132.8","26.4","-20.92","105.69","35.83","PART_002.nc","1765063959688","2025-12-06T23:32:39.688Z"
"bf428bc8-22c2-46f6-bc4f-eae545666451","CNC-001","Haas VF-2","maintenance","Threading","429","103.5","26.3","145.96","25.49","-25.36","PART_001.nc","1765063899680","2025-12-06T23:31:39.680Z"
"a540a825-8ad7-4943-8af6-9f23c62fee19","CNC-004","Okuma MB-5000H","error","Boring","8","130","21.2","-100.96","-100.94","97.85","SHAFT_TURN.nc","1765063839672","2025-12-06T23:30:39.672Z"
"2148c04b-49f1-4c7b-a70a-e5c6112814e8","CNC-004","Okuma MB-5000H","maintenance","Threading","109","181.1","28.9","30.24","135.21","83.51","SHAFT_TURN.nc","1765063779664","2025-12-06T23:29:39.664Z"
"7b75378a-5c34-46bd-bde2-a0ae7717c628","CNC-005","Fanuc Robodrill","running","Turning","3065","182.1","49.2","-108.33","-26.86","93.36","ENGINE_BLOCK.nc","1765063719656","2025-12-06T23:28:39.656Z"
"44167b3d-f2e6-4d31-ba70-1f7113c6cef1","CNC-005","Fanuc Robodrill","maintenance","Boring","154","89.7","30","-81.26","-105.23","20.03","PART_002.nc","1765063659648","2025-12-06T23:27:39.648Z"
"03c05645-62d2-499e-a157-0d43a7369c46","CNC-004","Okuma MB-5000H","idle","Drilling","363","174.1","22.2","62.93","-71.08","92.87","PART_003.nc","1765063599640","2025-12-06T23:26:39.640Z"
"0c7e0ad2-2b87-41e3-b4e0-1e022984be0c","CNC-005","Fanuc Robodrill","maintenance","Turning","343","105.4","27.7","-56.92","-88.07","-11.1","SHAFT_TURN.nc","1765063539632","2025-12-06T23:25:39.632Z"
"8c96a8ee-a239-419c-b645-ec152bbc2743","CNC-003","Mazak Integrex i-200","maintenance","Turning","232","118.2","26.4","-108.48","55.94","98.04","PART_003.nc","1765063479624","2025-12-06T23:24:39.624Z"
"f1fec512-f39f-4663-9e72-1cf0520470a5","CNC-002","DMG Mori NLX2500","maintenance","Threading","78","59.8","25.7","-129.32","-7.33","131.8","SHAFT_TURN.nc","1765063419615","2025-12-06T23:23:39.615Z"
"9a0c431b-9a63-4f57-8306-b3e68e1b0eee","CNC-002","DMG Mori NLX2500","running","Drilling","4187","182.2","47.8","-117.7","33.36","-22.42","ENGINE_BLOCK.nc","1765063359606","2025-12-06T23:22:39.606Z"
"b0cc286b-6ed4-4e69-a25c-284226887a8d","CNC-005","Fanuc Robodrill","running","Drilling","2875","167.5","50.7","12.94","-134.53","-23.93","ENGINE_BLOCK.nc","1765063299598","2025-12-06T23:21:39.598Z"
