Wood_ID,Wood_Type,Wood_Species,Origin,Lot_Number,Received_Date,Quantity_Pcs,Total_Volume_M3,Unit_Price_THB,Total_Cost_THB,Storage_Location,Moisture_Content_Pct,Status,Supplier_Name,Supplier_Contact,Notes,Photo_URL,Created_Date,Last_Updated
W001,ไม้สดท่อน,ยางพารา,สุราษฎร์ธานี,LOT-2024-001,2024-12-01,150,45.5,2500,113750,โกดัง A-1,55,พร้อมประเมิน,บริษัท ไม้ดี จำกัด,081-234-5678,ไม้คุณภาพดี ตัดใหม่,,2024-12-01,2024-12-20
W002,ไม้สดแปรรูป,ยูคาลิปตัส,นครศรีธรรมราช,LOT-2024-002,2024-12-05,200,38.2,2200,84040,โกดัง A-2,48,กำลังประเมิน,หจก.ไม้สวน,089-876-5432,ไม้อายุ 5 ปี,,2024-12-05,2024-12-22
W003,ไม้สดท่อน,สัก,แพร่,LOT-2024-003,2024-12-10,80,28.6,8500,243100,โกดัง B-1,52,ประเมินแล้ว,สหกรณ์ไม้สักแพร่,054-511-234,ไม้สักทอง คุณภาพพรีเมี่ยม,,2024-12-10,2024-12-24
W004,ไม้สดแผ่น,มะฮอกกานี,เชียงใหม่,LOT-2024-004,2024-12-12,300,22.1,6800,150280,โกดัง B-2,45,พร้อมผลิต,ร้านไม้เชียงใหม่,053-222-333,แปรรูปแล้ว ความหนา 2 นิ้ว,,2024-12-12,2024-12-23
W005,ไม้สดท่อน,กระถินณรงค์,ชลบุรี,LOT-2024-005,2024-12-15,250,55.8,1800,100440,โกดัง C-1,60,พร้อมประเมิน,ไร่กระถินชลบุรี,038-123-456,ไม้เติบโตเร็ว อายุ 3 ปี,,2024-12-15,2024-12-25
W006,ไม้สดแปรรูป,ยางพารา,ตรัง,LOT-2024-006,2024-12-18,180,32.4,2800,90720,โกดัง A-3,42,กำลังประเมิน,สวนยางตรัง,075-211-222,ไม้ยางพาราแปรรูป Grade A,,2024-12-18,2024-12-26
W007,ไม้สดท่อน,ประดู่,อุดรธานี,LOT-2024-007,2024-12-20,60,18.9,12000,226800,โกดัง B-3,50,พร้อมประเมิน,ร้านไม้อุดร,042-333-444,ไม้ประดู่แก่น หายาก,,2024-12-20,2024-12-26
W008,ไม้สดแผ่น,สน,เลย,LOT-2024-008,2024-12-22,400,28.0,1500,42000,โกดัง C-2,38,ประเมินแล้ว,ไม้สนเลย,042-811-000,ไม้สนภูเขา เนื้อนุ่ม,,2024-12-22,2024-12-26
W009,ไม้สดท่อน,แดง,สระแก้ว,LOT-2024-009,2024-12-23,45,15.2,15000,228000,โกดัง A-4,55,พร้อมประเมิน,ป่าชุมชนสระแก้ว,037-241-555,ไม้แดงป่า ได้รับอนุญาต,,2024-12-23,2024-12-26
W010,ไม้สดแปรรูป,ไม้ไผ่,กาญจนบุรี,LOT-2024-010,2024-12-24,500,12.5,800,10000,โกดัง C-3,35,พร้อมผลิต,ไผ่กาญจน์,034-515-666,ไผ่ตงขนาดใหญ่ แปรรูปแล้ว,,2024-12-24,2024-12-26
